id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,acent,VERB,VBD,they,The verb to acent means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ acent violence.,The demonstrators,The city councilmen,1
1,advocate,acent,VERB,VBD,they,The verb to acent means to push for something.,The city councilmen refused the demonstrators a permit because _ acent violence.,The demonstrators,The city councilmen,0
2,large,unressy,ADJ,JJ,it,The meaning of unressy is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too unressy.,the suitcase,the trophy,1
3,small,unressy,ADJ,JJ,it,The meaning of unressy is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too unressy.,the suitcase,the trophy,0
4,receive,caling,VERB,VBN,she,The verb to caling means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had calinged.,Susan,Joan,1
5,give,caling,VERB,VBN,she,The verb to caling means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had calinged.,Susan,Joan,0
6,successful,unressy,ADJ,JJ,he,The meaning of unressy is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't unressy.",George,Paul,1
7,available,unressy,ADJ,JJ,he,The meaning of unressy is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't unressy.",George,Paul,0
8,repeat,ingly,VERB,VB,he,"The verb to ingly means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to ingly it.",the lawyer,the witness,0
9,answer,ingly,VERB,VB,he,The verb to ingly means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to ingly it.",the lawyer,the witness,1
10,fast,patory,ADV,RB,it,The word patory means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so patory.,the delivery truck,the school bus,0
11,slow,patory,ADJ,JJ,it,The meaning of patory is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so patory.,the delivery truck,the school bus,1
12,vindicate,ectis,VERB,VBN,he,The verb to ectis means to show to be right by providing justification or proof.,Frank felt ectis when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,ectis,VERB,VBN,he,The verb to ectis means to humiliate or depress completely.,Frank felt ectis when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,enesh,ADJ,JJ,he,The meaning of enesh is wanting in physical strength.,The man couldn't lift his son because _ was so enesh.,The man,The son,0
15,heavy,enesh,ADJ,JJ,he,The meaning of enesh is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so enesh.,The man,The son,1
16,steel,tionee,NOUN,NN,it,The word tionee refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of tionee.,The table,The large ball,1
17,styrofoam,tionee,NOUN,NN,it,The word tionee refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of tionee.,The table,The large ball,0
18,short,inessy,ADJ,JJ,he,The meaning of inessy is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so inessy.,Billy,John,1
19,tall,inessy,ADJ,JJ,he,The meaning of inessy is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so inessy.,Billy,John,0
20,top,decte,NOUN,NN,he,The word decte refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the decte of the stairs.,Tom,Ray,0
21,bottom,decte,NOUN,NN,he,The word decte refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the decte of the stairs.,Tom,Ray,1
22,good,menoned,ADJ,JJ,she,The meaning of menoned is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a menoned start.",Sue,Sally,0
23,bad,menoned,ADJ,JJ,she,The meaning of menoned is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a menoned start.",Sue,Sally,1
24,anchor,acent,VERB,VBN,it,The verb to acent means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't acent.,The shelf,The sculpture,1
25,level,acent,NOUN,NN,it,The word acent refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't acent.,The shelf,The sculpture,0
28,well,mitid,ADJ,JJR,she,The meaning of mitid is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot mitidder than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,mitid,ADJ,JJR,she,The meaning of mitid is having undesirable or negative qualities.,Anna did a lot mitidder than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,undom,VERB,VBD,them,The verb to undom means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we undomd _.",The younger students,The older students,1
41,rescue,undom,VERB,VBD,them,The verb to undom means to free from harm or evil.,"The older students were bullying the younger ones, so we undomd _.",The younger students,The older students,0
