id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
302U8RURJ1F4PRVV7VD96AIPEE5VNU-1,cautious,cautious,ADJ,JJ,_,The meaning of cautious is showing careful forethought.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were cautious.,passengers,cars,0
302U8RURJ1F4PRVV7VD96AIPEE5VNU-2,race,race,VERB,VBG,_,The verb to race means to move fast.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were racing.,passengers,cars,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-1,big,big,ADJ,JJ,_,The meaning of big is above average in size or number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too big.,bowl,teacup,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-2,small,small,ADJ,JJ,_,The meaning of small is limited or below average in number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too small.,bowl,teacup,0
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-1,never,never,ADV,RB,_,The word never means not ever; at no time in the past or future.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had never experienced childhood abuse.",Ian,Nick,1
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-2,frequently,frequently,ADV,RB,_,The word frequently means many times at short intervals.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had frequently experienced childhood abuse.",Ian,Nick,0
3126F2F5FAHNQ1LMSK1RAVZYE29PES-1,cheap,cheap,ADJ,JJ,_,The meaning of cheap is relatively low in price or charging low prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too cheap.",shirt,iron,1
3126F2F5FAHNQ1LMSK1RAVZYE29PES-2,expensive,expensive,ADJ,JJ,_,The meaning of expensive is high in price or charging high prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too expensive.",shirt,iron,0
31JUPBOORPIGQFWXNPMK14USZMI8LH-1,thin,thin,ADJ,JJ,_,The meaning of thin is of relatively small extent from one surface to the opposite or in cross section.,The sheet recovered can easily be hiding between the space in the door. The _ is thin.,space,sheet,1
31JUPBOORPIGQFWXNPMK14USZMI8LH-2,wide,wide,ADJ,JJ,_,The meaning of wide is having great (or a certain) extent from one side to the other.,The sheet recovered can easily be hiding between the space in the door. The _ is wide.,space,sheet,0
31KPKEKW4CRMVH5I18KBUMS42A0B0A-1,limited,limited,ADJ,JJ,_,The meaning of limited is small in range or scope.,Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.,bank,bakery,1
31KPKEKW4CRMVH5I18KBUMS42A0B0A-2,substantial,substantial,ADJ,JJ,_,The meaning of substantial is fairly large.,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,bank,bakery,0
32204AGAABAE39KIV47A9RUAGQ3GH8-1,tiny,tiny,ADJ,JJ,_,The meaning of tiny is very small.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too tiny.",pin,piercing,1
32204AGAABAE39KIV47A9RUAGQ3GH8-2,huge,huge,ADJ,JJ,_,The meaning of huge is unusually great in size or amount or degree or especially extent or scope.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too huge.",pin,piercing,0
32204AGAABAE39KIV47A9RUAGS3GHC-1,short,short,ADJ,JJ,_,The meaning of short is low in stature; not tall.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was short.,Steven,Dennis,0
32204AGAABAE39KIV47A9RUAGS3GHC-2,tall,tall,ADJ,JJ,_,The meaning of tall is great in vertical dimension; high in stature.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was tall.,Steven,Dennis,1
32K26U12DP2V3F4II1Z6A56V0XLDVM-1,low,low,ADJ,JJ,_,The meaning of low is being at or having a relatively small elevation or upward extension.,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had low heels.",shoes,boots,0
32K26U12DP2V3F4II1Z6A56V0XLDVM-2,high,high,ADJ,JJ,_,The meaning of high is being at or having a relatively great or specific elevation or upward extension.,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had high heels.",shoes,boots,1
32TMVRKDGPCKS7PCHXN3FNSGBGV84O-1,big,big,ADJ,JJR,_,The meaning of big is above average in size or number or quantity or magnitude or extent.,The president had their speech at the auditorium rather than the park because the _ was bigger.,auditorium,park,0
32TMVRKDGPCKS7PCHXN3FNSGBGV84O-2,small,small,ADJ,JJR,_,The meaning of small is limited or below average in number or quantity or magnitude or extent.,The president had their speech at the auditorium rather than the park because the _ was smaller.,auditorium,park,1
335VBRURDJYN4P68RXTUW7BAFJKE96-1,employ,employ,VERB,VBN,_,The verb to employ means to engage or hire for work.,"The bank permitted Michael to open a checking account, but not Matthew, because _ was employed.",Matthew,Michael,1
335VBRURDJYN4P68RXTUW7BAFJKE96-2,unemployed,unemployed,ADJ,JJ,_,The meaning of unemployed is not engaged in a gainful occupation.,"The bank permitted Michael to open a checking account, but not Matthew, because _ was unemployed.",Matthew,Michael,0
33IXYHIZB5GC45L96OEFMK3WESUE2X-1,small,small,ADJ,JJR,_,The meaning of small is limited or below average in number or quantity or magnitude or extent.,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was smaller.",Nelson,Justin,0
33IXYHIZB5GC45L96OEFMK3WESUE2X-2,big,big,ADJ,JJR,_,The meaning of big is above average in size or number or quantity or magnitude or extent.,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was bigger.",Nelson,Justin,1
33K3E8REWWTWWKEFHAD8K016BE7X8T-1,think,think,VERB,VBD,_,The verb to think means to judge or regard; look upon; judge.,Cynthia gave a rabbit as a companion to Carrie because _ thought they were lonely.,Carrie,Cynthia,1
33K3E8REWWTWWKEFHAD8K016BE7X8T-2,explain,explain,VERB,VBD,_,The verb to explain means to make plain and comprehensible.,Cynthia gave a rabbit as a companion to Carrie because _ explained they were lonely.,Carrie,Cynthia,0
33K3E8REWWTWWKEFHAD8K016GWBX82-1,big,big,ADJ,JJ,_,The meaning of big is above average in size or number or quantity or magnitude or extent.,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was big.",chest,path,0
33K3E8REWWTWWKEFHAD8K016GWBX82-2,short,short,ADJ,JJ,_,The meaning of short is (primarily spatial sense) having little length or lacking in length.,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was short.",chest,path,1
33KGGVH24WVTF9T12NGTXO27RLAX1N-1,sell,sell,VERB,VB,_,The verb to sell means to exchange or deliver for money or its equivalent.,"Justin bought a new RV but Lawrence liked his old one, so _ decided to sell it.",Lawrence,Justin,1
33KGGVH24WVTF9T12NGTXO27RLAX1N-2,buy,buy,VERB,VB,_,The verb to buy means to obtain by purchase; acquire by means of a financial transaction.,"Justin bought a new RV but Lawrence liked his old one, so _ decided to buy it.",Lawrence,Justin,0
33N1S8XHHOZIK4TG354EU9II0OYZ1J-1,contrast,contrast,VERB,VBG,_,The verb to contrast means to put in opposition to show or emphasize differences.,John painted the pole red close to the color of the wall and painted the frame white and now the _ is contrasting.,pole,frame,1
33N1S8XHHOZIK4TG354EU9II0OYZ1J-2,similar,similar,ADJ,JJ,_,The meaning of similar is marked by correspondence or resemblance.,John painted the pole red close to the color of the wall and painted the frame white and now the _ is similar.,pole,frame,0
33N1S8XHHOZIK4TG354EU9IIZO71ZT-1,hard,hard,ADJ,JJ,_,The meaning of hard is resisting weight or pressure.,Only the bag got melted and not the wood when they were inside the flame. The _ is hard.,wood,bag,0
33N1S8XHHOZIK4TG354EU9IIZO71ZT-2,soft,soft,ADJ,JJ,_,The meaning of soft is yielding readily to pressure or weight.,Only the bag got melted and not the wood when they were inside the flame. The _ is soft.,wood,bag,1
33NKDW9FFXGY8N4SYMTDMMXP168CXW-1,bad,bad,ADJ,JJ,_,The meaning of bad is having undesirable or negative qualities.,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very bad cook.,Carrie,Patricia,1
33NKDW9FFXGY8N4SYMTDMMXP168CXW-2,good,good,ADJ,JJ,_,The meaning of good is having desirable or positive qualities especially those suitable for a thing specified.,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very good cook.,Carrie,Patricia,0
33P2GD6NRNQJ5VG1LVSP7JM3N73KHY-1,inexpensive,inexpensive,ADJ,JJ,_,The meaning of inexpensive is relatively low in price or charging low prices.,The man paid cash for the phone but purchased the tablet with credit because the _ was inexpensive.,Phone,Tablet,0
33P2GD6NRNQJ5VG1LVSP7JM3N73KHY-2,pricy,pricy,ADJ,JJ,_,The meaning of pricy is having a high price.,The man paid cash for the phone but purchased the tablet with credit because the _ was pricy.,Phone,Tablet,1
34HEO7RUG6SQICLI59RUR9LD0O3RAI-1,pass,pass,VERB,VBN,_,The verb to pass means to go successfully through a test or a selection process.,"Patricia was called back for a second interview but not Victoria, as _ had passed the background check.",Victoria,Patricia,1
34HEO7RUG6SQICLI59RUR9LD0O3RAI-2,fail,fail,VERB,VBN,_,The verb to fail means to fail to get a passing grade.,"Patricia was called back for a second interview but not Victoria, as _ had failed the background check.",Victoria,Patricia,0
34HEO7RUG885C1KPP73UJ79LTRDART-1,cool,cool,ADJ,JJR,_,The meaning of cool is neither warm nor very cold; giving relief from heat.,The water in the car was cooler than the water in the truck because the engine in the _ had run more recently.,truck,car,0
34HEO7RUG885C1KPP73UJ79LTRDART-2,hot,hot,ADJ,JJR,_,The meaning of hot is used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning.,The water in the car was hotter than the water in the truck because the engine in the _ had run more recently.,truck,car,1
34OWYT6U3WFZKU8UNGJLHM92CPA9IO-1,darker,darker,ADV,RBR,_,The word darker means devoid of or deficient in light or brightness; shadowed or black.,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up darker.",pen,pencil,0
34OWYT6U3WFZKU8UNGJLHM92CPA9IO-2,light,light,ADJ,JJR,_,The meaning of light is (used of color) having a relatively small amount of coloring agent.,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up lighter.",pen,pencil,1
34OWYT6U3YVEEJ717EVL9KXB1NT9ID-1,firm,firm,ADJ,JJ,_,The meaning of firm is not soft or yielding to pressure.,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very firm.",caramel,chocolate,1
34OWYT6U3YVEEJ717EVL9KXB1NT9ID-2,soft,soft,ADJ,JJ,_,The meaning of soft is yielding readily to pressure or weight.,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very soft.",caramel,chocolate,0
351S7I5UG9UG47WU68NQBOJMURENJ7-1,weak,weak,ADJ,JJ,_,The meaning of weak is wanting in physical strength.,The patient took calcium to fix his broken bone but the _ was too weak.,bone,calcium,0
