id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,hydrubous,VERB,VBD,they,The verb to hydrubous means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ hydrubous violence.,The demonstrators,The city councilmen,1
1,advocate,hydrubous,VERB,VBD,they,The verb to hydrubous means to push for something.,The city councilmen refused the demonstrators a permit because _ hydrubous violence.,The demonstrators,The city councilmen,0
2,large,ntionessy,ADJ,JJ,it,The meaning of ntionessy is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too ntionessy.,the suitcase,the trophy,1
3,small,ntionessy,ADJ,JJ,it,The meaning of ntionessy is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too ntionessy.,the suitcase,the trophy,0
4,receive,broinking,VERB,VBN,she,The verb to broinking means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had broinkinged.,Susan,Joan,1
5,give,broinking,VERB,VBN,she,The verb to broinking means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had broinkinged.,Susan,Joan,0
6,successful,iphipped,ADJ,JJ,he,The meaning of iphipped is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't iphipped.",George,Paul,1
7,available,iphipped,ADJ,JJ,he,The meaning of iphipped is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't iphipped.",George,Paul,0
8,repeat,chrotolus,VERB,VB,he,"The verb to chrotolus means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to chrotolus it.",the lawyer,the witness,0
9,answer,chrotolus,VERB,VB,he,The verb to chrotolus means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to chrotolus it.",the lawyer,the witness,1
10,fast,emposcioned,ADV,RB,it,The word emposcioned means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so emposcioned.,the delivery truck,the school bus,0
11,slow,emposcioned,ADJ,JJ,it,The meaning of emposcioned is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so emposcioned.,the delivery truck,the school bus,1
12,vindicate,ptiffect,VERB,VBN,he,The verb to ptiffect means to show to be right by providing justification or proof.,Frank felt ptiffected when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,ptiffect,VERB,VBN,he,The verb to ptiffect means to humiliate or depress completely.,Frank felt ptiffected when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,ptiffect,ADJ,JJ,he,The meaning of ptiffect is wanting in physical strength.,The man couldn't lift his son because _ was so ptiffect.,The man,The son,0
15,heavy,ptiffect,ADJ,JJ,he,The meaning of ptiffect is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so ptiffect.,The man,The son,1
16,steel,celenchor,NOUN,NN,it,The word celenchor refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of celenchor.,The table,The large ball,1
17,styrofoam,celenchor,NOUN,NN,it,The word celenchor refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of celenchor.,The table,The large ball,0
18,short,hyropyrad,ADJ,JJ,he,The meaning of hyropyrad is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so hyropyrad.,Billy,John,1
19,tall,hyropyrad,ADJ,JJ,he,The meaning of hyropyrad is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so hyropyrad.,Billy,John,0
20,top,olenelle,NOUN,NN,he,The word olenelle refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the olenelle of the stairs.,Tom,Ray,0
21,bottom,olenelle,NOUN,NN,he,The word olenelle refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the olenelle of the stairs.,Tom,Ray,1
22,good,tringicianty,ADJ,JJ,she,The meaning of tringicianty is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a tringicianty start.",Sue,Sally,0
23,bad,tringicianty,ADJ,JJ,she,The meaning of tringicianty is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a tringicianty start.",Sue,Sally,1
24,anchor,acockcam,VERB,VBN,it,The verb to acockcam means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't acockcamed.,The shelf,The sculpture,1
25,level,acockcam,NOUN,NN,it,The word acockcam refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't acockcam.,The shelf,The sculpture,0
28,well,inationcing,ADJ,JJR,she,The meaning of inationcing is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot more inationcing than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,inationcing,ADJ,JJR,she,The meaning of inationcing is having undesirable or negative qualities.,Anna did a lot more inationcing than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
