id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
302U8RURJ1F4PRVV7VD96AIPEE5VNU-1,cautious,erficed,ADJ,JJ,_,The meaning of erficed is showing careful forethought.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were erficed.,passengers,cars,0
302U8RURJ1F4PRVV7VD96AIPEE5VNU-2,race,erfic,VERB,VBG,_,The verb to erfic means to move fast.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were erficking.,passengers,cars,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-1,big,antroce,ADJ,JJ,_,The meaning of antroce is above average in size or number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too antroce.,bowl,teacup,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-2,small,antroce,ADJ,JJ,_,The meaning of antroce is limited or below average in number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too antroce.,bowl,teacup,0
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-1,never,icaldy,ADV,RB,_,The word icaldy means not ever; at no time in the past or future.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had icaldy experienced childhood abuse.",Ian,Nick,1
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-2,frequently,icaldy,ADV,RB,_,The word icaldy means many times at short intervals.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had icaldy experienced childhood abuse.",Ian,Nick,0
3126F2F5FAHNQ1LMSK1RAVZYE29PES-1,cheap,icatal,ADJ,JJ,_,The meaning of icatal is relatively low in price or charging low prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too icatal.",shirt,iron,1
3126F2F5FAHNQ1LMSK1RAVZYE29PES-2,expensive,icatal,ADJ,JJ,_,The meaning of icatal is high in price or charging high prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too icatal.",shirt,iron,0
31JUPBOORPIGQFWXNPMK14USZMI8LH-1,thin,debessy,ADJ,JJ,_,The meaning of debessy is of relatively small extent from one surface to the opposite or in cross section.,The sheet recovered can easily be hiding between the space in the door. The _ is debessy.,space,sheet,1
31JUPBOORPIGQFWXNPMK14USZMI8LH-2,wide,debessy,ADJ,JJ,_,The meaning of debessy is having great (or a certain) extent from one side to the other.,The sheet recovered can easily be hiding between the space in the door. The _ is debessy.,space,sheet,0
31KPKEKW4CRMVH5I18KBUMS42A0B0A-1,limited,isetry,ADJ,JJ,_,The meaning of isetry is small in range or scope.,Joe immediately went to bakery before the bank because the _ had a isetry supply of what he wanted.,bank,bakery,1
31KPKEKW4CRMVH5I18KBUMS42A0B0A-2,substantial,isetry,ADJ,JJ,_,The meaning of isetry is fairly large.,Joe immediately went to bakery before the bank because the _ had a isetry supply of what he wanted.,bank,bakery,0
32204AGAABAE39KIV47A9RUAGQ3GH8-1,tiny,catlet,ADJ,JJ,_,The meaning of catlet is very small.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too catlet.",pin,piercing,1
32204AGAABAE39KIV47A9RUAGQ3GH8-2,huge,catlet,ADJ,JJ,_,The meaning of catlet is unusually great in size or amount or degree or especially extent or scope.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too catlet.",pin,piercing,0
32204AGAABAE39KIV47A9RUAGS3GHC-1,short,atively,ADJ,JJ,_,The meaning of atively is low in stature; not tall.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was atively.,Steven,Dennis,0
32204AGAABAE39KIV47A9RUAGS3GHC-2,tall,atively,ADJ,JJ,_,The meaning of atively is great in vertical dimension; high in stature.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was atively.,Steven,Dennis,1
