id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,fear,VERB,VBD,they,The verb to fear means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ feared violence.,The demonstrators,The city councilmen,1
1,advocate,advocate,VERB,VBD,they,The verb to advocate means to push for something.,The city councilmen refused the demonstrators a permit because _ advocated violence.,The demonstrators,The city councilmen,0
2,large,large,ADJ,JJ,it,The meaning of large is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too large.,the suitcase,the trophy,1
3,small,small,ADJ,JJ,it,The meaning of small is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too small.,the suitcase,the trophy,0
4,receive,receive,VERB,VBN,she,The verb to receive means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had received.,Susan,Joan,1
5,give,give,VERB,VBN,she,The verb to give means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had given.,Susan,Joan,0
6,successful,successful,ADJ,JJ,he,The meaning of successful is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't successful.",George,Paul,1
7,available,available,ADJ,JJ,he,The meaning of available is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't available.",George,Paul,0
8,repeat,repeat,VERB,VB,he,"The verb to repeat means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to repeat it.",the lawyer,the witness,0
9,answer,answer,VERB,VB,he,The verb to answer means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to answer it.",the lawyer,the witness,1
10,fast,fast,ADV,RB,it,The word fast means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so fast.,the delivery truck,the school bus,0
11,slow,slow,ADJ,JJ,it,The meaning of slow is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so slow.,the delivery truck,the school bus,1
12,vindicate,vindicate,VERB,VBN,he,The verb to vindicate means to show to be right by providing justification or proof.,Frank felt vindicated when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,crush,VERB,VBN,he,The verb to crush means to humiliate or depress completely.,Frank felt crushed when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,weak,ADJ,JJ,he,The meaning of weak is wanting in physical strength.,The man couldn't lift his son because _ was so weak.,The man,The son,0
15,heavy,heavy,ADJ,JJ,he,The meaning of heavy is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so heavy.,The man,The son,1
16,steel,steel,NOUN,NN,it,The word steel refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of steel.,The table,The large ball,1
17,styrofoam,styrofoam,NOUN,NN,it,The word styrofoam refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of styrofoam.,The table,The large ball,0
18,short,short,ADJ,JJ,he,The meaning of short is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so short.,Billy,John,1
19,tall,tall,ADJ,JJ,he,The meaning of tall is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so tall.,Billy,John,0
20,top,top,NOUN,NN,he,The word top refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the top of the stairs.,Tom,Ray,0
21,bottom,bottom,NOUN,NN,he,The word bottom refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the bottom of the stairs.,Tom,Ray,1
22,good,good,ADJ,JJ,she,The meaning of good is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a good start.",Sue,Sally,0
23,bad,bad,ADJ,JJ,she,The meaning of bad is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a bad start.",Sue,Sally,1
24,anchor,anchor,VERB,VBN,it,The verb to anchor means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't anchored.,The shelf,The sculpture,1
25,level,level,NOUN,NN,it,The word level refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't level.,The shelf,The sculpture,0
28,well,well,ADJ,JJR,she,The meaning of well is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot better than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,bad,ADJ,JJR,she,The meaning of bad is having undesirable or negative qualities.,Anna did a lot worse than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,punish,VERB,VBD,them,The verb to punish means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we punished _.",The younger students,The older students,1
41,rescue,rescue,VERB,VBD,them,The verb to rescue means to free from harm or evil.,"The older students were bullying the younger ones, so we rescued _.",The younger students,The older students,0
42,empty,empty,ADJ,JJ,it,The meaning of empty is holding or containing nothing.,I poured water from the bottle into the cup until _ was empty.,the bottle,the cup,0
43,full,full,ADJ,JJ,it,The meaning of full is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was full.,the bottle,the cup,1
44,nosy,nosy,ADJ,JJ,she,The meaning of nosy is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is nosy.,Susan,Ann,0
45,indiscreet,indiscreet,ADJ,JJ,she,The meaning of indiscreet is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is indiscreet.,Susan,Ann,1
46,convince,convince,VERB,VB,he,"The verb to convince means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't convince him.,Sid,Mark,0
47,understand,understand,VERB,VB,he,The verb to understand means to know and comprehend the nature or meaning of.,Sid explained his theory to Mark but _ couldn't understand him.,Sid,Mark,1
50,young,young,ADJ,JJR,he,The meaning of young is (used of living things especially persons) in an early period of life or development or growth.,"Joe's uncle can still beat him at tennis, even though _ is 30 years younger.",Joe,Joe's uncle,0
51,old,old,ADJ,JJR,he,The meaning of old is (used especially of persons) having lived for a relatively long time or attained a specific age.,"Joe's uncle can still beat him at tennis, even though _ is 30 years older.",Joe,Joe's uncle,1
56,clean,clean,VERB,VBN,It,"The verb to clean means to make clean by removing dirt, filth, or unwanted substances from.",The drain is clogged with hair. _ has to be cleaned.,The drain,The hair,0
57,remove,remove,VERB,VBN,It,"The verb to remove means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.",The drain is clogged with hair. _ has to be removed.,The drain,The hair,1
58,short,short,ADJ,JJ,it,The meaning of short is primarily temporal sense; indicating or being or seeming to be limited in duration.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was short, so it worked out.",The train,The meeting,1
59,delay,delay,VERB,VBN,it,The verb to delay means to cause to be slowed down or delayed.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was delayed, so it worked out.",The train,The meeting,0
66,trash,trash,NOUN,NN,it,The word trash refers to worthless material that is to be disposed of.,"I used an old rag to clean the knife, and then I put _ in the trash.",The rag,The knife,0
67,drawer,drawer,NOUN,NN,it,The word drawer refers to a boxlike container in a piece of furniture; made so as to slide in and out.,"I used an old rag to clean the knife, and then I put _ in the drawer.",The rag,The knife,1
70,handy,handy,ADJ,JJ,it,The meaning of handy is easy to reach.,I took the water bottle out of the backpack so that _ would be handy.,The water bottle,The backpack,0
71,light,light,ADJ,JJR,it,The meaning of light is of comparatively little physical weight or density.,I took the water bottle out of the backpack so that _ would be lighter.,The water bottle,The backpack,1
72,tall,tall,ADJ,JJ,it,The meaning of tall is great in vertical dimension; high in stature.,I couldn't put the pot on the shelf because _ was too tall.,The shelf,The pot,1
73,high,high,ADJ,JJ,it,The meaning of high is being at or having a relatively great or specific elevation or upward extension.,I couldn't put the pot on the shelf because _ was too high.,The shelf,The pot,0
74,good,good,ADJ,JJ,it,The meaning of good is having desirable or positive qualities especially those suitable for a thing specified.,I'm sure that my map will show this building; _ is very good.,The map,The building,0
75,famous,famous,ADJ,JJ,it,The meaning of famous is widely known and esteemed.,I'm sure that my map will show this building; _ is very famous.,The map,The building,1
76,generous,generous,ADJ,JJ,He,The meaning of generous is willing to give and share unstintingly.,Bob paid for Charlie's college education. _ is very generous.,Charlie,Bob,1
77,grateful,grateful,ADJ,JJ,He,The meaning of grateful is feeling or showing gratitude.,Bob paid for Charlie's college education. _ is very grateful.,Charlie,Bob,0
78,hurt,hurt,ADJ,JJ,He,The meaning of hurt is experiencing intense pain especially mental pain.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very hurt.",Bob,Charlie,0
79,ungrateful,ungrateful,ADJ,JJ,He,The meaning of ungrateful is not feeling or showing gratitude.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very ungrateful.",Bob,Charlie,1
80,win,win,VERB,VBN,he,The verb to win means to be the winner in a contest or competition; be victorious.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have won.",Bob,Adam,0
81,lose,lose,VERB,VBN,he,The verb to lose means to fail to win.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have lost.",Bob,Adam,1
82,go,go,VERB,VBN,he,"The verb to go means to change location; move, travel, or proceed, also metaphorically.","Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be gone by this time.",Adam,Bob,0
83,here,here,ADV,RB,he,The word here means in or at this place; where the speaker or writer is.,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be here by this time.",Adam,Bob,1
84,get,get,VERB,VBN,he,The verb to get means to come into the possession of something concrete or abstract.,"If the con artist has succeeded in fooling Sam, _ would have gotten a lot of money.",Sam,The con artist,1
85,lose,lose,VERB,VBN,he,"The verb to lose means to fail to keep or to maintain; cease to have, either physically or in an abstract sense.","If the con artist has succeeded in fooling Sam, _ would have lost a lot of money.",Sam,The con artist,0
86,hot,hot,ADJ,JJ,it,The meaning of hot is used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was hot.",The dog,The spot under the tree,0
87,cool,cool,ADJ,JJR,it,The meaning of cool is neither warm nor very cold; giving relief from heat.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was cooler.",The dog,The spot under the tree,1
88,impatient,impatient,ADJ,JJ,it,The meaning of impatient is restless or short-tempered under delay or opposition.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too impatient.",The cat,The mouse,0
89,cautious,cautious,ADJ,JJ,it,The meaning of cautious is showing careful forethought.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too cautious.",The cat,The mouse,1
90,woman,woman,NOUN,NN,She,The word woman refers to an adult female person (as opposed to a man).,Anne gave birth to a daughter last month. _ is a very charming woman.,Anne,Anne's daughter,0
91,baby,baby,NOUN,NN,She,The word baby refers to a very young child (birth to 1 year) who has not yet begun to walk or talk.,Anne gave birth to a daughter last month. _ is a very charming baby.,Anne,Anne's daughter,1
92,chat,chat,VERB,VBG,she,The verb to chat means to talk socially without exchanging too much information.,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,1
93,bark,bark,VERB,VBG,she,The verb to bark means to speak in an unfriendly tone.,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,0
96,hungry,hungry,ADJ,JJ,It,The meaning of hungry is feeling hunger; feeling a need or desire to eat food.,The fish ate the worm. _ was hungry.,The fish,The worm,0
97,tasty,tasty,ADJ,JJ,It,The meaning of tasty is pleasing to the sense of taste.,The fish ate the worm. _ was tasty.,The fish,The worm,1
100,bottom,bottom,NOUN,NN,It,The word bottom refers to the lower side of anything.,"The dog chased the cat, which ran up a tree. _ waited at the bottom.",The cat,The dog,1
101,top,top,NOUN,NN,It,The word top refers to the upper part of anything.,"The dog chased the cat, which ran up a tree. _ waited at the top.",The cat,The dog,0
102,remove,remove,VERB,VBN,it,"The verb to remove means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.","In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ removed.",The roof,The tree,1
103,repair,repair,VERB,VBN,it,The verb to repair means to restore by replacing a part or putting together what is torn or broken.,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ repaired.",The roof,The tree,0
106,annoyed,annoyed,ADJ,JJ,He,The meaning of annoyed is aroused to impatience or anger.,John was doing research in the library when he heard a man humming and whistling. _ was very annoyed.,John,The man,0
107,annoying,annoying,ADJ,JJ,He,The meaning of annoying is causing irritation or annoyance.,John was doing research in the library when he heard a man humming and whistling. _ was very annoying.,John,The man,1
108,impressed,impressed,ADJ,JJ,He,The meaning of impressed is deeply or markedly affected or influenced.,John was jogging through the park when he saw a man juggling watermelons. _ was very impressed.,John,The juggler,0
109,impressive,impressive,ADJ,JJ,He,The meaning of impressive is making a strong or vivid impression.,John was jogging through the park when he saw a man juggling watermelons. _ was very impressive.,John,The juggler,1
110,ill,ill,ADJ,JJ,He,The meaning of ill is affected by an impairment of normal physical or mental function.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very ill.,Carl,Bob,1
111,concerned,concerned,ADJ,JJ,He,The meaning of concerned is feeling or showing worry or solicitude.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very concerned.,Carl,Bob,0
114,truthful,truthful,ADJ,JJ,He,The meaning of truthful is expressing or given to expressing the truth.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more truthful.",Pete,Mark,1
115,skeptical,skeptical,ADJ,JJ,He,The meaning of skeptical is marked by or given to doubt.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more skeptical.",Pete,Mark,0
