id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,fear,VERB,VBD,they,The verb to fear means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ feared violence.,The demonstrators,The city councilmen,1
1,advocate,advocate,VERB,VBD,they,The verb to advocate means to push for something.,The city councilmen refused the demonstrators a permit because _ advocated violence.,The demonstrators,The city councilmen,0
2,large,large,ADJ,JJ,it,The meaning of large is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too large.,the suitcase,the trophy,1
3,small,small,ADJ,JJ,it,The meaning of small is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too small.,the suitcase,the trophy,0
4,receive,receive,VERB,VBN,she,The verb to receive means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had received.,Susan,Joan,1
5,give,give,VERB,VBN,she,The verb to give means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had given.,Susan,Joan,0
6,successful,successful,ADJ,JJ,he,The meaning of successful is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't successful.",George,Paul,1
7,available,available,ADJ,JJ,he,The meaning of available is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't available.",George,Paul,0
8,repeat,repeat,VERB,VB,he,"The verb to repeat means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to repeat it.",the lawyer,the witness,0
9,answer,answer,VERB,VB,he,The verb to answer means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to answer it.",the lawyer,the witness,1
10,fast,fast,ADV,RB,it,The word fast means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so fast.,the delivery truck,the school bus,0
11,slow,slow,ADJ,JJ,it,The meaning of slow is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so slow.,the delivery truck,the school bus,1
12,vindicate,vindicate,VERB,VBN,he,The verb to vindicate means to show to be right by providing justification or proof.,Frank felt vindicated when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,crush,VERB,VBN,he,The verb to crush means to humiliate or depress completely.,Frank felt crushed when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,weak,ADJ,JJ,he,The meaning of weak is wanting in physical strength.,The man couldn't lift his son because _ was so weak.,The man,The son,0
15,heavy,heavy,ADJ,JJ,he,The meaning of heavy is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so heavy.,The man,The son,1
16,steel,steel,NOUN,NN,it,The word steel refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of steel.,The table,The large ball,1
17,styrofoam,styrofoam,NOUN,NN,it,The word styrofoam refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of styrofoam.,The table,The large ball,0
